date,eur_usd,inventory,production,rigs,inflation,wti_6m_rolling,wti_12m_rolling,wti_6m_lag,wti
2014-04-01,1.381018181818182,362182.2714285714,8520.0,1835.0,2.0,98.29943441938178,99.84583743366981,100.53826086956522,102.0690476190476
2014-05-01,1.3738523809523808,362452.1152073733,8636.0,1859.0,2.1,99.68495822890559,100.48480388388627,93.864,102.17714285714284
2014-06-01,1.3594857142857142,355018.6952380952,8734.0,1861.0,2.1,101.04646616541352,101.31995269341007,97.6252380952381,105.7942857142857
2014-07-01,1.3533363636363636,341551.9400921659,8837.0,1876.0,2.0,102.54171508316244,101.22976329947068,94.61714285714284,103.58863636363638
2014-08-01,1.3315238095238096,331447.995391705,8920.0,1904.0,1.7,101.82818542568543,100.3933852330926,100.81736842105263,96.53619047619048
2014-09-01,1.2889095238095238,327888.519047619,9070.0,1930.0,1.7,100.57988383838382,99.31209356642596,100.80380952380952,93.314
2014-10-01,1.2677318181818182,342427.66359447,9250.0,1925.0,1.7,97.53162987012986,97.91553214475583,102.0690476190476,83.77952380952381
2014-11-01,1.24725,348291.17619047617,9307.0,1925.0,1.3,93.13368500797448,96.40932161844005,102.17714285714284,75.78947368421052
2014-12-01,1.2329190476190477,350577.7926267281,9546.0,1868.0,0.8,85.38304647983597,93.21475632262474,105.7942857142857,59.29045454545455
2015-01-01,1.16149,363994.0737327189,9375.0,1651.0,-0.1,75.98810708589656,89.2649110845295,103.58863636363638,47.219
2015-02-01,1.1350263157894738,394182.5255102041,9496.0,1348.0,0.0,68.32944376091744,85.07881459330143,96.53619047619048,50.58421052631579
2015-03-01,1.0819454545454543,427616.8847926267,9575.0,1109.0,-0.1,60.74771648819017,80.66380016328701,93.314,47.82363636363636
2015-04-01,1.0822045454545457,453768.6571428572,9648.0,976.0,-0.2,55.85993871041239,76.69578429027113,83.77952380952381,54.45285714285714
2015-05-01,1.116735,448810.2995391705,9463.0,889.0,0.0,53.10585976304397,73.11977238550922,75.78947368421052,59.265
2015-06-01,1.122559090909091,434963.7714285714,9347.0,861.0,0.1,53.1940415812258,69.28854403053087,59.29045454545455,59.819545454545455
2015-07-01,1.099740909090909,429575.3732718894,9433.0,866.0,0.2,53.80769309637731,64.89790009113693,47.219,50.90090909090909
2015-08-01,1.1136142857142857,422390.85253456223,9398.0,883.0,0.2,52.52159451659452,60.42551913875598,50.58421052631579,42.86761904761905
2015-09-01,1.1228523809523812,424757.1952380952,9469.0,848.0,0.0,52.13090909090909,56.43931278954963,47.82363636363636,45.47952380952381
2015-10-01,1.1227952380952382,442061.07834101387,9392.0,791.0,0.2,50.75937229437229,53.30965550239235,54.45285714285714,46.22363636363636
2015-11-01,1.072657894736842,455332.6,9326.0,760.0,0.5,47.94607864357864,50.52596920331131,59.265,42.385238095238094
2015-12-01,1.0888681818181818,454594.65437788016,9268.0,711.0,0.7,44.17724135767614,48.685641469450964,59.819545454545455,37.20652173913044
2016-01-01,1.0855052631578948,458741.2488479263,9204.0,643.0,1.4,41.01967317585795,47.41368313611763,50.90090909090909,31.9555
2016-02-01,1.10923,476580.802955665,9064.0,532.0,1.0,38.92890333458812,45.72524892559132,42.86761904761905,30.323
2016-03-01,1.1133521739130434,497115.93548387097,9106.0,477.0,0.9,37.60670997239475,44.86880953165192,45.47952380952381,37.54636363636364
2016-04-01,1.1345666666666667,506911.21904761903,8878.0,437.0,1.1,36.69531026099505,43.72734127768367,46.22363636363636,40.7552380952381
2016-05-01,1.1312047619047618,507159.9216589861,8837.0,407.0,1.0,37.41650073718552,42.68128969038208,42.385238095238094,46.71238095238096
2016-06-01,1.1231772727272729,499038.3952380952,8678.0,417.0,1.0,39.34162590187591,41.75943362977602,37.20652173913044,48.75727272727273
2016-07-01,1.105495,490978.3594470046,8667.0,449.0,0.8,41.4576259018759,41.23864953886693,31.9555,44.6515
2016-08-01,1.1206521739130435,492008.0184331797,8692.0,481.0,1.1,43.85785053955706,41.39337693707259,30.323,44.72434782608696
2016-09-01,1.1217809523809523,475521.4095238095,8545.0,509.0,1.5,45.124517206223736,41.36561358930924,37.54636363636364,45.14636363636364
2016-10-01,1.10144,473007.8571428571,8807.0,543.0,1.6,46.627850539557066,41.66158040027606,40.7552380952381,49.775238095238095
2016-11-01,1.07918,487878.7380952381,8906.0,580.0,1.7,46.452612444318966,41.934556590752244,46.71238095238096,45.66095238095238
2016-12-01,1.0544619047619048,484119.4055299539,8818.0,634.0,2.1,46.98814635485288,43.164886128364394,48.75727272727273,51.9704761904762
2017-01-01,1.0634947368421053,488171.5760368664,8873.0,683.0,2.5,48.29689635485288,44.87726112836439,44.6515,52.504
2017-02-01,1.0650210526315789,517015.6428571429,9111.0,744.0,2.7,49.75424189261032,46.80604621608369,44.72434782608696,53.46842105263158
2017-03-01,1.069104347826087,531474.6082949309,9167.0,789.0,2.4,50.45115230104246,47.7878347536331,45.14636363636364,49.32782608695652
2017-04-01,1.07138,531065.5428571429,9102.0,853.0,2.2,50.66536700446769,48.64660877201238,49.775238095238095,51.060526315789474
2017-05-01,1.1049863636363637,517540.27188940096,9187.0,893.0,1.9,51.1346022137029,48.79360732901093,45.66095238095238,48.47636363636364
2017-06-01,1.1233,509539.9428571428,9111.0,931.0,1.6,50.002477394078085,48.49531187446548,51.9704761904762,45.17772727272728
2017-07-01,1.153015,489101.4377880184,9247.0,953.0,1.7,49.02356511337632,48.6602307341146,52.504,46.630526315789474
2017-08-01,1.181291304347826,465569.5944700461,9248.0,947.0,1.9,48.11832102489425,48.93628145875228,53.46842105263158,48.03695652173913
2017-09-01,1.191335,468608.2523809524,9514.0,940.0,2.2,48.20068334373483,49.32591782238865,49.32782608695652,49.822
2017-10-01,1.175547619047619,458227.6175115208,9668.0,922.0,2.0,48.286883503224466,49.47612525384608,51.060526315789474,51.57772727272727
2017-11-01,1.174295,455839.0761904762,10086.0,911.0,2.2,49.64725146859243,50.39092684114767,48.47636363636364,56.63857142857143
2017-12-01,1.183615,436018.7880184332,9987.0,930.0,2.1,51.764546923137885,50.88351215860798,45.17772727272728,57.8815
2018-01-01,1.219652380952381,416198.0414746544,10002.0,937.0,2.1,54.60922110860154,51.81639311098894,46.630526315789474,63.69857142857144
2018-02-01,1.2339684210526316,421987.8316326531,10281.0,969.0,2.2,56.97464063568011,52.54648083028718,48.03695652173913,62.22947368421052
2018-03-01,1.2333954545454546,428406.4285714286,10467.0,989.0,2.4,59.125100953140425,53.66289214843763,49.822,62.72476190476191
2018-04-01,1.2269523809523808,430052.91904761904,10495.0,1011.0,2.5,61.57111466165414,54.9289990824393,51.57772727272727,66.25380952380952
2018-05-01,1.1822636363636363,434933.13364055305,10432.0,1046.0,2.8,63.79438305992253,56.720817264257484,56.63857142857143,69.97818181818182
2018-06-01,1.1679142857142857,425438.8095238095,10640.0,1056.0,2.9,65.4596886154781,58.612117769307986,57.8815,67.87333333333333
2018-07-01,1.1684619047619047,408207.732718894,10901.0,1050.0,2.9,66.67349813928762,60.64135962394459,63.69857142857144,70.98142857142857
2018-08-01,1.1546608695652174,408041.3225806452,11394.0,1050.0,2.7,67.64452788757137,62.30958426162574,62.22947368421052,68.05565217391305
2018-09-01,1.1666947368421052,397835.3285714285,11446.0,1053.0,2.3,68.89575178063737,64.0104263668889,62.72476190476191,70.2321052631579
2018-10-01,1.148759090909091,419099.331797235,11516.0,1063.0,2.5,69.6448994686981,65.60800706517612,66.25380952380952,70.74869565217391
2018-11-01,1.13639,443563.5619047619,11911.0,1077.0,2.2,67.47578583233445,65.6350844461285,69.97818181818182,56.9635
2018-12-01,1.1380388888888888,441668.5806451613,11985.0,1077.0,1.9,64.41735990640852,64.93852426094331,67.87333333333333,49.522777777777776
2019-01-01,1.14179,442496.6129032258,11873.0,1065.0,1.6,61.15318241723105,63.91334027825932,70.98142857142857,51.39636363636364
2019-02-01,1.1349444444444443,450219.6071428572,11672.0,1048.0,1.5,58.9749070549122,63.30971747124178,68.05565217391305,54.986
2019-03-01,1.1296142857142857,446056.1428571429,11910.0,1023.0,1.9,56.961460939623976,62.928606360130665,70.2321052631579,58.151428571428575
2019-04-01,1.1234,460391.4047619048,12143.0,1013.0,2.0,55.81374182299183,62.72932064584496,70.74869565217391,63.86238095238095
2019-05-01,1.1186909090909092,474564.4976958525,12153.0,986.0,1.8,56.4400425476295,61.957914189981985,56.9635,60.72130434782608
2019-06-01,1.129515,477284.56666666665,12221.0,970.0,1.6,57.29582958466654,60.85659474553754,49.522777777777776,54.657500000000006
2019-07-01,1.1211454545454544,449223.8940092166,11902.0,955.0,1.8,58.28945151828847,59.721316967759755,51.39636363636364,57.35809523809524
2019-08-01,1.1128681818181818,433886.930875576,12485.0,926.0,1.7,58.25943636677332,58.61717171084276,54.986,54.80590909090909
2019-09-01,1.10112,419235.8095238095,12589.0,878.0,1.7,58.043801446138396,57.50263119288119,58.151428571428575,56.857619047619046
2019-10-01,1.1058181818181818,434348.32718894014,12806.0,848.0,1.8,56.39391186711839,56.1038268450551,63.86238095238095,53.96304347826087
2019-11-01,1.105057894736842,449401.88095238095,12994.0,810.0,2.1,55.77819447581405,56.10911851172177,60.72130434782608,57.027
2019-12-01,1.1113666666666666,441537.91705069126,12980.0,804.0,2.3,56.64830811217768,56.97206884842211,54.657500000000006,59.878181818181815
2020-01-01,1.1097666666666666,430444.9723502304,12851.0,791.0,2.5,56.675133509003075,57.482292513645774,57.35809523809524,57.519047619047626
